trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",35,12,-37.60689745271811,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,14,-11.702202179802882,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,5,23.637365172981585,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-23.56955869561137,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,9,-38.66838321965524,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,13,-21.61410030782362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",35,13,1.7644489990967047,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,19,14.339826619501169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,8,21.75513540715568,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,9,-7.126173502793325,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,16,-15.656585227326993,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,0,-10.875816166562759,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,13,-0.9979022438857044,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,0,11.596364019802744,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,10,-3.737506284472789,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,19,-10.180569366808326,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,13,-20.70558433777378,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,22,25.26393563858499,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
